CREATE_FOLDER_____,CREATE_THREAD_____,DEVICE_ACCESS_____,FS_ACCESS____,FS_ACCESS(CREATE)____,FS_ACCESS(READ)____,__arm_nr_set_tls,_llseek,access,clock_gettime,clone,close,epoll_wait,fcntl64,fstat64,getpid,getpriority,gettid,gettimeofday,getuid32,ioctl,lseek,lstat64,madvise,mkdir,mmap2,mprotect,munmap,open,prctl,pread64,pwrite64,read,recvfrom,setpriority,sigaltstack,sigprocmask,stat64,write,writev,Class
36,113,250,608,97,561,135,400,1028,4364,113,4017,615,2235,1557,523,339,376,1995,578,5011,886,414,2172,76,2318,4174,786,1628,348,550,211,10385,152,118,185,223,860,2629,2603,3
4,15,2,5,3,19,15,33,16,217486,15,160,42474,135,135,21986,62,21956,724,23859,7811,10,4,1389,4,83,199,35,39,104,15,0,21241,12,21932,16,5,69,44516,1155,1
3,11,4,11,3,20,11,6,12,449,11,50,54,13,24,61,41,25,7,74,151,70,5,91,3,162,1263,96,49,95,78,0,122,29,8,13,390,27,88,27,1
2,13,3,9,2,15,13,6,5,1207,13,37,528,11,11,91,31,27,6,106,201,8,3,77,2,90,155,27,37,95,15,0,227,796,10,15,73,21,269,149,2
5,31,4,17,4,15,31,6,65,607,31,77,55,44,66,70,57,58,52,76,243,8,21,177,5,200,243,121,64,121,52,0,56,63,35,49,222,65,113,48,0
4,12,26,31,4,64,13,54,12,141,12,95,31,43,19,39,37,31,11,53,168,113,14,213,5,229,329,55,139,108,6,0,116,9,10,15,30,52,97,16,1
5,35,24,48,23,764,35,6,44,39950,35,928,6523,363,852,1349,32,490,2066,1328,243,108,25,277,5,310,295,150,876,167,7,132,4743,1013,37,36,212,73,2459,25,3
3,12,2,5,2,10,12,7,6,404,12,25,24,10,17,31,27,27,94,45,155,8,3,48,3,47,143,5,30,94,4,0,25,1,9,12,4,17,264,11,3
2,13,2,18,2,16,13,6,5,3615,13,89,498,20,18,419,103,29,19,423,684,10,3,127,2,319,428,253,46,103,215,0,678,451,10,16,654,45,320,48,1
7,21,3,19,6,25,21,6,52,536,21,85,60,20,84,70,53,48,26,86,267,8,25,136,9,144,211,73,74,109,31,0,70,33,22,30,135,43,114,22,0
2,9,2,7,2,14,9,6,7,316,9,30,35,7,6,41,27,23,5,53,128,8,3,74,2,103,124,51,33,91,41,0,35,53,6,10,114,20,65,13,2
10,93,127,210,54,2329,94,54,278,142059,93,2781,31190,1175,2897,26427,135,744,3207,26238,1505,221,61,762,11,834,882,493,2774,254,257,461,9230,291,121,132,252,369,2749,140,4
3,10,2,5,3,10,10,6,12,182,10,26,17,6,17,25,26,24,6,36,70,10,7,49,3,57,72,27,32,92,20,0,597,1,7,12,30,33,51,10,2
5,160,64,218,51,1465,166,48,531,93394,160,2722,15809,1299,2160,13851,244,448,1078,13836,2395,76,88,813,136,897,897,526,1841,272,300,549,4670,1240,172,253,387,376,1572,400,0
16,51,8,57,10,115,51,494,212,3404,51,278,426,216,356,215,152,260,338,201,550,41,48,421,20,351,887,198,234,148,137,37,4753,177,63,62,289,108,576,128,4
17,78,85,188,47,1008,78,224,401,31566,78,1472,7652,1149,1796,5859,150,430,2787,5505,2452,93,70,528,25,632,1215,437,1413,210,358,424,3188,1220,90,110,559,418,1621,201,4
14,87,128,196,29,86,87,102,415,3797,87,568,399,1279,1012,434,129,271,9275,390,1253,37,56,454,19,549,1278,389,517,212,364,310,626,182,126,128,278,441,648,222,4
2,14,2,20,2,26,14,6,5,3875,14,101,573,17,54,435,97,33,25,439,703,10,3,125,2,323,383,251,58,104,216,0,720,541,11,17,658,45,333,50,1
0,8,24,32,5,10,8,9,60,144,8,98,51,219,146,40,32,21,138,54,298,14,15,42,1,70,46,36,81,91,56,30,37,0,5,8,0,72,105,4,3
3,9,2,21,5,16,9,6,18,653,9,52,84,51,37,85,49,23,40,98,259,10,3,116,3,145,158,83,53,122,52,23,644,165,6,10,244,33,209,19,1
3,9,2,3,3,8,9,6,12,59,9,22,12,5,14,15,18,23,6,29,48,8,7,37,3,58,53,28,28,91,24,0,18,0,6,10,41,25,38,3,2
5,35,24,48,23,765,35,6,44,44459,35,929,7463,361,853,2158,32,490,2063,2137,259,108,25,282,5,306,294,146,877,163,7,130,4737,1024,37,36,212,72,2493,28,3
3,12,3,16,3,16,12,40,15,370,12,42,57,7,33,48,38,27,7,60,181,14,6,106,3,103,228,42,49,97,20,0,83,44,9,16,143,29,90,16,2
23,101,72,211,52,182,101,119,488,4832,101,734,674,1242,1118,1153,188,364,1903,480,1712,38,75,489,27,590,1300,379,671,200,399,377,920,228,142,143,432,448,2076,230,4
8,54,25,143,35,39,55,6,278,296708,54,594,6572,966,753,4047,269,110,50312,4129,9671,10,27,1972,10,362,425,240,261,139,292,121,2130,8792,58,90,249,500,3306,1089,3
5,55,6,22,3,18,55,6,73,1829,55,66,712,85,62,499,66,228,32,511,387,32,24,247,5,229,368,99,72,145,23,0,84,13,57,75,96,72,144,129,0
3,29,5,11,2,23,29,6,20,649,29,47,149,72,58,91,56,182,20,94,196,34,10,99,3,112,206,42,51,111,25,0,682,2,30,34,69,25,178,28,1
10,38,54,75,15,121,40,143,93,981,38,221,132,272,166,116,284,206,155,138,629,259,46,456,12,481,1094,131,304,156,49,45,366,33,40,47,33,125,1270,85,3
4,11,6,45,10,15,11,6,91,1251,11,97,70,194,137,79,60,25,198,90,370,8,80,97,4,203,357,136,86,95,172,26,40,65,8,12,332,78,136,23,0
3,27,5,20,3,19,27,6,22,1026,27,60,189,77,31,135,47,182,14,133,293,32,10,126,4,145,289,40,57,109,22,0,107,128,28,29,89,30,197,52,3
8,38,22,159,43,20,38,6,286,2158,38,258,391,1148,685,234,51,203,965,239,690,32,22,176,8,242,391,129,262,124,357,186,1715,323,41,48,225,319,285,58,3
1,56,8,33,6,44,57,12,136,934,56,241,136,209,158,134,84,222,179,124,419,29,52,273,2,225,395,91,106,147,19,30,148,4,59,78,37,134,141,991,3
3,9,2,3,3,8,9,6,12,55,9,22,12,5,14,15,18,23,6,29,54,8,7,37,3,58,55,28,28,91,24,0,18,0,6,10,41,25,38,3,2
6,8,2,16,2,16,8,6,5,186,8,39,26,7,15,32,34,22,6,46,104,8,3,92,8,105,243,41,44,95,28,0,28,9,5,8,98,21,66,34,3
6,40,21,45,5,782,40,144,39,145253,40,902,24686,91,893,20643,53,285,1630,20634,957,39,20,311,6,291,411,128,873,143,19,1,4977,1142,42,44,204,72,2243,149,2
2,8,2,9,2,16,8,6,5,59,8,30,22,6,7,23,18,21,4,42,99,10,3,56,2,61,113,8,37,88,2,0,605,8,5,8,0,21,41,9,1
2,15,3,13,2,35,15,6,9,2169,15,70,872,24,80,254,34,29,611,265,212,8,3,80,2,110,180,45,61,95,31,0,451,774,12,18,201,25,446,10,2
6,38,17,44,5,744,38,144,39,137967,38,854,24046,91,849,20162,50,273,1257,20153,381,40,20,282,6,276,377,117,830,142,17,1,4800,791,40,42,207,72,2089,133,2
3,9,2,3,3,8,9,6,12,56,9,22,12,5,14,15,18,23,6,29,56,8,7,36,3,58,55,28,28,91,24,0,18,0,6,10,41,25,38,3,2
4,28,2,8,3,24,28,27,54,3478,28,87,195,26,67,172,107,63,3894,277,3173,10,22,193,4,158,233,92,67,117,22,0,681,125,27,44,124,109,290,23,1
12,28,371,383,37,72,28,142,725,3490,28,987,226,2472,1852,280,109,80,2595,328,2239,12,62,340,13,703,594,597,928,156,806,566,372,145,39,36,473,747,496,115,4
5,42,21,45,4,902,42,44,22,331348,42,1011,85499,96,993,84114,52,293,798,84106,804,40,13,354,5,303,443,140,992,151,19,1,8089,378,44,48,228,48,2207,86,2
4,29,2,8,3,24,29,27,51,3428,29,86,182,26,65,163,98,67,3846,249,3049,10,21,197,4,161,261,92,66,118,22,0,679,125,28,45,124,96,269,23,1
14,49,21,67,8,55,49,153,142,1856,49,217,157,265,311,209,107,111,461,213,694,13,26,312,20,332,1110,200,191,156,157,69,414,125,67,70,316,141,435,98,4
6,28,2280,3951,985,19,28,35,5949,15987,28,7261,2501,29801,16796,1679,86,155,16524,1380,10501,34,15,446,6,2556,618,2447,7249,139,7229,14089,856,2908,31,30,560,6950,1304,138,4
36,110,248,596,94,563,132,400,1017,4269,110,3813,609,2136,1510,505,334,365,1908,563,4772,886,420,2173,75,2298,4200,775,1619,346,524,211,10381,133,117,182,223,844,2436,2437,3
2,10,2,14,2,14,10,6,5,39900,10,53,3419,12,13,3502,43,26,6,3537,13280,8,3,87,2,127,189,53,40,94,44,0,2776,12821,7,10,244,19,2842,76,1
3,17,2,21,3,25,17,6,11,742,17,65,43,10,53,58,56,32,174,67,187,8,7,110,3,114,286,40,59,101,18,0,52,34,14,21,137,27,99,23,0
2,8,2,5,2,10,8,6,3,35,8,21,16,5,7,16,22,21,9,31,68,10,3,31,2,54,83,21,27,88,21,0,596,0,5,8,48,19,46,7,1
3,9,2,3,3,8,9,6,12,83,9,22,12,5,14,15,18,23,6,29,52,8,7,35,3,65,60,35,28,91,31,0,18,0,6,10,61,25,38,3,2
2,13,3,9,2,15,13,6,5,1195,13,37,522,11,11,92,29,27,6,107,202,8,3,79,2,90,156,27,37,95,15,0,227,795,10,15,73,21,264,149,2
6,53,38,77,10,939,54,54,59,390180,53,1060,69535,247,973,65185,58,482,908,65164,413,189,32,816,7,537,626,215,1087,209,50,19,3473,109,70,61,268,95,1309,69,4
0,8,38,46,5,10,8,9,88,142,8,126,49,317,216,39,32,21,195,54,334,14,15,43,1,84,57,50,109,91,84,30,36,0,5,8,0,100,91,4,3
3,62,6,52,17,11,62,6,87,466,62,97,40,392,237,48,92,80,377,81,323,10,3,203,3,198,230,162,94,144,112,84,599,0,59,114,52,141,99,6,1
35,55,101,190,13,229,58,458,164,4973,55,554,819,234,435,740,81,120,487,507,540,328,89,853,76,705,1918,245,623,199,25,0,1470,30,73,87,93,249,427,146,4
4,59,12,64,24,906,61,6,195,20681,59,1206,3767,234,1106,1933,115,335,939,1898,1669,121,138,393,6,411,469,178,1050,154,51,16,2918,250,71,73,328,117,979,67,0
20,117,167,982,298,223,130,242,2143,4610,117,3620,303,6702,4719,337,234,283,4533,1106,2706,10,338,1144,45,1193,1096,695,2016,285,2098,2805,9733,122,143,196,339,2411,845,219,4
8,83,47,126,43,953,93,6,152,34386,83,2162,6298,477,1135,3619,131,913,1450,3583,1372,106,42,601,18,715,681,364,1210,174,87,196,3700,927,92,132,1054,180,1718,114,0
6,41,20,47,5,846,41,5061,35,157981,41,958,26782,97,939,22669,55,289,1599,22655,920,36,18,292,6,288,398,125,934,141,18,1,9326,1127,44,46,229,62,2190,93,2
10,42,8,46,6,707,42,36,47,9886,42,780,1825,222,773,644,49,290,838,625,177,89,27,247,15,252,338,82,784,134,11,15,2119,29,48,45,48,63,651,87,0
5,40,21,45,4,763,40,150,22,144259,40,885,24640,95,898,20408,53,283,1630,20399,929,40,13,283,5,290,390,132,855,141,19,1,6737,1134,42,46,194,48,3216,103,2
5,39,21,44,4,793,39,34,22,114840,39,910,19595,111,902,15496,76,289,1638,15485,911,39,13,393,5,288,920,132,885,142,19,1,15863,1134,41,44,233,48,5878,100,2
1,19,12,43,8,36,19,6,50,284,19,106,26,213,157,50,38,48,164,60,180,8,3,146,1,142,600,45,112,101,49,63,103,12,21,23,28,82,72,43,4
2,17,1,42,3,2,3,3,1,1317,17,46,245,0,1,174,611,15,41,223,1632,2,0,17,2,59,80,47,50,4,44,0,317,364,7,3,114,20,1414,1,2
62,27,68,134,26,121,29,139,166,36761,27,292,72,537,328,86,71,56,27137,114,429,221,64,458,55,503,1008,190,384,146,131,213,400,24,25,44,141,211,333,64,1
3,17,2,21,3,25,17,6,11,395,17,65,52,10,53,62,56,32,174,71,221,8,7,107,3,114,188,40,59,101,18,0,59,50,14,21,113,27,108,21,0
0,8,2,4,1,9,8,6,3,16,8,19,4,5,6,9,15,21,3,19,32,10,3,29,0,32,59,2,24,90,1,0,592,0,5,8,0,11,29,4,1
0,8,38,46,5,10,8,9,88,142,8,126,49,317,216,39,32,21,195,54,334,14,15,43,1,84,57,50,109,91,84,30,36,0,5,8,0,100,91,4,3
3,9,2,3,3,8,9,6,12,56,9,22,12,5,14,15,18,23,6,29,49,8,7,36,3,58,55,28,28,91,24,0,18,0,6,10,41,25,38,3,2
3,8,2,3,2,8,8,6,4,18,8,18,3,5,6,9,17,21,3,22,38,8,3,29,3,32,95,2,23,90,1,0,16,0,5,8,0,11,32,7,3
2,9,2,15,2,14,9,6,7,1291,9,57,509,12,14,87,38,23,6,97,222,8,3,80,2,124,119,65,41,91,49,0,226,815,6,10,191,24,286,14,2
0,12,2,18,2,23,13,6,11,190,12,104,28,10,11,36,50,31,7,54,168,8,7,116,10,116,389,25,54,94,4,0,41,26,11,14,5,30,101,66,4
16,91,207,362,91,153,92,268,655,31645,91,974,2633,2263,1567,2666,157,206,2303,2716,9680,140,103,691,18,838,5180,544,969,245,535,1109,3156,9341,130,143,654,716,3218,277,4
29,84,187,426,73,375,94,301,707,2940,84,1523,421,1932,1304,338,242,296,1649,369,2763,660,146,1414,48,1557,2960,566,1147,279,551,215,9943,190,91,127,309,733,1649,1722,3
10,38,9,25,11,17,38,6,62,67383,38,186,62,177,179,85,108,69,37854,83,106738,8,25,532,12,368,278,266,84,120,215,29,132,41,35,55,736,64,238,152,0
6,35,7,37,5,626,35,32,46,20067,35,697,4499,215,685,798,46,265,1161,783,261,111,13,190,6,203,272,58,694,118,15,6,3497,817,38,36,104,70,1894,76,2
5,34,6,35,5,570,34,6,41,18098,34,638,4198,190,610,701,55,257,1139,683,297,84,16,166,5,192,211,51,632,117,15,6,3260,830,36,35,83,58,1904,33,3
3,9,2,3,3,8,9,6,12,65,9,22,12,5,14,15,20,23,6,29,56,8,7,36,3,58,57,28,28,91,24,0,18,0,6,10,41,25,42,3,2
6,34,7,33,5,473,34,32,46,19130,34,540,4389,215,532,719,46,258,1157,705,271,111,13,186,6,201,269,58,537,117,15,6,3212,820,37,35,112,70,1900,77,2
17,18,54,102,23,78,19,241,171,3125,18,264,520,527,356,456,92,43,718,458,1063,128,76,296,15,328,1601,141,294,137,130,196,616,725,17,25,168,215,686,149,4
3,22,2,4,3,10,22,6,14671,5650,22,46,64,12,51,69,55,54,61,29359,87270,10,23,408,3,79,205,13,48,104,6,0,614,16,26,24,2,65,127,28330,1
3,12,2,5,3,10,12,6,15,124,12,25,19,6,16,25,28,26,6,37,78,10,7,56,3,72,90,41,32,95,28,0,599,1,9,16,44,35,53,35,2
11,67,26,171,83,216,71,429,331,10992,67,842,866,919,791,539,163,114,753,577,2132,390,46,719,18,556,726,345,581,249,254,401,2036,45,68,111,304,590,484,733,4
0,8,2,3,1,8,8,6,3,52,8,18,3,5,6,9,49,21,7,25,81,8,3,29,0,33,67,3,22,90,2,0,16,0,5,8,0,15,96,3,3
3,9,2,3,3,8,9,6,12,58,9,22,13,5,14,15,20,23,6,29,54,8,7,37,3,58,56,28,28,91,24,0,19,0,6,10,41,25,43,3,2
2,14,3,9,2,15,14,6,5,403,14,34,99,9,10,86,28,31,6,101,183,8,3,79,2,93,146,26,37,96,15,0,46,72,11,16,73,21,83,143,2
2,12,26,41,3,80,13,54,10,3957,12,165,382,68,85,383,77,39,28,396,1229,113,11,280,3,351,834,167,163,150,67,0,463,1129,16,15,169,63,635,140,3
3,10,2,15,2,15,10,6,35,1408,10,53,558,23,23,103,36,26,24,114,233,8,3,85,5,114,264,51,45,92,41,0,220,811,8,10,128,19,271,14,3
3,22,2,2,2,9,22,6,14,207,22,48,72,15,13,69,50,57,44,113,274,10,7,85,3,83,115,29,28,104,2,0,207,0,28,28,6,35,119,15,1
5,41,21,44,4,746,41,52,22,141046,41,867,24067,96,881,19838,58,290,1626,19831,919,40,13,324,5,295,475,136,837,145,19,1,6735,1123,43,47,224,48,3274,274,2
2,8,2,8,2,14,8,6,5,862,8,33,436,8,7,31,19,21,10,42,98,8,3,53,2,72,93,19,34,88,14,0,205,736,5,8,63,15,221,3,2
0,8,2,4,1,9,8,6,3,14,8,19,3,5,6,9,14,21,3,19,30,10,3,29,0,32,56,2,24,90,1,0,591,0,5,8,0,11,26,4,1
3,13,8,61,19,11,13,6,107,186,13,110,46,446,278,54,33,36,373,60,221,10,3,63,3,55,158,13,108,93,136,73,603,1,11,14,1,151,72,51,1
3,28,5,19,2,18,28,6,20,29660,28,57,5908,77,30,3887,50,182,14,3885,5619,32,10,128,3,164,317,59,54,110,42,0,1119,6952,29,30,242,30,2116,55,3
4,15,2,11,2,40,15,6,194,575,15,77,36,5,118,49,47,34,575,73,1345,10,385,65,5,74,192,29,63,97,22,0,656,3,12,17,54,39,82,43,1
4,56,52,486,45,462,116,102,89,1402,56,2624,166,327,250,290,114,224,184,277,994,224,59,2089,36,2146,1575,644,1117,178,42,0,3206,33,54,155,198,142,710,259,3
3,12,2,16,3,14,12,6,34,377,12,47,38,10,17,56,33,32,5,60,181,8,4,86,3,120,131,47,44,94,34,0,32,64,10,14,188,22,72,23,1
0,34,47,59,6,73,35,54,97,789,34,193,131,339,207,95,47,196,175,100,450,113,31,264,1,296,413,97,205,138,53,30,197,12,36,41,23,113,173,40,3
3,13,2,9,3,16,13,6,8,229,13,47,88,6,26,69,51,33,18,84,178,10,4,80,3,78,170,18,40,95,5,0,632,24,14,15,31,74,129,18,1
7,23,3,17,7,16,23,6,72,3485,23,120,658,36,65,467,110,46,1534,474,744,10,33,254,9,222,475,153,71,127,72,0,874,353,25,35,316,302,486,915,0
3,12,2,5,2,10,12,7,6,408,12,25,25,10,17,31,27,27,94,45,148,8,3,48,3,47,145,5,30,94,4,0,26,1,9,12,4,17,265,11,3
11,45,5,36,13,18,45,6,111,3333,45,123,544,166,141,374,106,89,1274,391,1040,8,47,266,13,275,319,180,100,174,64,58,158,377,48,72,152,104,355,56,0
3,26,2,4,3,10,26,6,14146,6277,26,40,64,12,39,69,60,60,61,28333,90002,10,17,438,3,91,222,25,42,108,6,0,614,16,32,32,6,59,133,28702,1
0,8,5,6,1,10,8,9,11,75,8,27,3,7,14,10,45,22,4,24,75,14,16,43,2,66,108,29,33,91,26,0,24,0,5,8,48,22,204,36,3
5,126,17,281,104,1160,150,6,224,52281,126,4070,8563,1648,1574,7608,305,523,1129,7730,2104,44,30,912,43,972,871,515,1586,220,293,270,6243,1092,144,236,407,563,1238,115,1
3,9,2,3,3,8,9,6,12,54,9,22,13,5,14,15,18,23,6,29,52,8,7,36,3,58,56,28,28,91,24,0,19,0,6,10,41,25,39,3,2
22,128,204,409,68,1423,143,370,580,7236,128,2865,1518,1861,1907,1039,339,435,1647,1054,2666,771,201,1753,43,1860,3222,648,2221,344,293,308,12019,355,138,206,227,556,1450,1692,3
13,35,32,127,23,95,35,255,295,2111,35,384,143,681,713,246,113,73,702,217,675,18,26,308,14,317,1699,234,313,129,307,64,616,69,43,54,321,286,345,131,4
3,10,2,4,3,9,10,6,8,93,10,24,13,6,12,24,19,25,7,34,72,8,5,43,3,58,100,28,28,92,20,0,20,1,7,12,30,21,37,16,2
3,10,2,8,3,16,10,32,10,1092,10,34,479,8,20,45,23,24,6,56,146,13,4,71,3,80,157,27,38,90,16,0,255,784,7,12,109,20,241,64,2
0,8,2,3,1,8,8,6,3,50,8,18,3,5,6,10,20,22,4,23,43,8,3,33,0,59,55,29,22,90,28,0,16,0,5,8,72,15,38,4,0
2,15,1,42,3,2,2,3,1,1089,15,46,244,0,1,159,84,11,48,212,514,2,0,16,2,57,88,48,50,3,45,0,298,264,6,2,115,20,331,7,1
5,18,4,26,7,16,18,6,40,616,18,75,112,90,65,115,61,37,79,128,310,8,9,119,5,172,208,110,65,105,79,29,58,94,16,27,253,53,143,43,0
3,9,2,3,3,8,9,6,8,61,9,20,12,5,10,15,18,23,4,29,50,8,5,36,3,58,53,28,26,91,24,0,18,0,6,10,41,21,36,3,2
3,26,2,4,3,10,26,6,10978,5371,26,46,64,18,51,69,59,58,65,21973,97621,10,23,437,3,91,216,25,48,108,6,0,612,18,30,32,6,65,125,32161,1
2,8,2,3,2,8,8,6,3,15,8,18,2,5,6,8,17,21,3,18,31,8,3,29,2,32,33,2,23,90,1,0,16,0,5,8,0,9,32,3,4
3,8,2,3,2,8,8,6,8,16,8,18,3,5,6,9,17,21,4,21,32,8,3,29,3,32,42,2,23,90,1,0,16,0,5,8,0,18,32,26,3
3,34,9,30,2,514,34,6,22,46312,34,567,8823,93,529,5291,34,248,1127,5277,184,32,10,183,3,201,195,55,565,117,9,0,3180,775,37,36,314,21,1747,30,3
13,35,24,69,18,64,35,126,229,4011,35,287,521,395,441,428,75,103,368,430,1165,13,64,398,21,449,721,354,237,303,160,132,678,915,54,49,283,187,618,104,4
17,79,183,290,83,122,80,227,579,13892,79,762,2236,1984,1339,1708,142,285,2413,1575,3395,159,94,601,20,704,3474,412,784,213,492,955,1318,2359,102,108,212,621,1318,193,4
5,41,21,45,4,783,41,150,22,139942,41,908,23681,98,921,19646,57,290,1630,19636,941,40,13,310,5,298,413,138,875,148,19,1,6803,1139,43,47,239,52,3200,147,2
2,13,3,9,2,15,13,6,5,1237,13,37,562,11,11,91,31,27,6,106,204,8,3,77,2,90,155,27,37,95,15,0,228,796,10,15,73,21,271,149,2
3,9,2,3,3,8,9,6,12,56,9,22,12,5,14,15,18,23,6,29,49,8,7,36,3,58,54,28,28,91,24,0,18,0,6,10,41,25,38,3,2
0,8,2,4,1,9,8,6,3,16,8,19,4,5,6,9,15,21,3,19,34,10,3,29,0,32,56,2,24,90,1,0,592,0,5,8,0,11,29,4,1
15,31,57,136,29,51,31,172,248,6366,31,353,510,771,610,514,98,72,6385,539,1850,13,25,281,17,383,694,274,314,129,367,381,656,1292,39,44,454,281,636,116,4
2,10,2,16,2,14,10,6,5,138,10,38,20,7,15,30,31,26,4,42,99,8,3,76,2,91,262,22,42,92,18,0,26,13,7,10,107,17,60,27,2
29,90,157,271,38,565,100,301,387,2545,90,1771,291,729,586,287,233,343,591,297,2256,677,338,1447,49,1498,2943,503,1120,284,149,155,10428,162,95,138,326,316,1738,1619,3
3,22,2,4,3,10,22,6,14168,5649,22,37,65,28,31,69,55,54,69,28397,90841,10,12,371,3,78,227,12,37,104,5,0,616,20,26,24,2,54,122,29356,1
24,63,62,220,60,114,70,23821,374,1091,63,2678,156,1232,939,152,83,238,943,198,709,136,67,407,49,427,899,156,512,167,309,229,24100,18,70,92,27,375,327,93,3
3,31,4,21,2,19,31,6,28,656,31,56,109,73,31,93,65,187,16,96,220,34,10,149,3,151,234,44,57,112,21,0,647,37,34,36,155,45,180,33,2
2,14,2,28,2,26,14,6,5,2490,14,107,330,19,62,262,102,33,17,265,601,10,3,147,2,283,336,211,66,115,159,0,702,305,11,17,548,45,324,46,1
3,39,5,13,2,23,39,6,24,7483,39,55,128,79,40,104,56,205,58,91,3871,32,10,152,3,179,303,68,53,121,29,0,97,58,40,49,128,27,151,65,0
3,25,4,9,2,14,25,34,18,460,25,27,60,69,31,36,28,177,10,40,78,37,10,1169,3,1162,298,14,40,1181,9,0,97,0,26,26,21,19,100,30,2
13,38,4,18,4,92,38,6,76,1000,38,142,19,30,85,73,110,83,131,63,174239,10,34,456,16,153,382,58,144,128,12,0,335,9,43,50,41,63,138,142,3
3,9,2,3,3,8,9,6,8,71,9,20,12,5,10,15,18,23,4,29,47,8,5,37,3,58,55,28,26,91,24,0,18,0,6,10,41,21,36,3,2
3,9,2,3,3,8,9,6,6,138,9,21,3,6,8,10,21,23,5,25,73,8,4,46,3,72,66,42,25,91,38,0,16,1,6,10,73,20,39,7,2
2,10,2,21,2,14,10,6,7,71,10,43,24,6,20,27,26,24,5,41,94,8,3,75,2,91,89,33,47,93,13,0,27,8,7,12,91,20,55,3,0
2,10,2,16,2,14,10,6,5,138,10,38,20,7,15,30,28,26,4,42,91,8,3,76,2,91,259,22,42,92,18,0,26,13,7,10,113,17,54,27,2
3,19,2,21,3,25,19,6,11,1076,19,65,42,10,53,60,60,40,174,69,193,8,7,121,3,120,359,40,59,103,18,0,52,34,16,23,129,27,108,24,0
9,59,181,122,15,65,59,206,282,7083,59,548,674,840,715,627,171,249,1341,602,2584,54,25,440,9,621,1228,481,471,158,386,293,1340,1523,86,82,632,289,928,1485,3
29,84,185,410,70,375,94,301,661,2867,84,1493,390,1821,1229,325,233,296,1552,355,2675,660,146,1428,48,1548,2903,558,1126,278,512,215,9927,174,91,127,309,687,1606,1655,3
6,40,21,45,5,789,40,44,39,141803,40,906,24202,90,886,19957,56,283,1608,19948,879,37,20,289,6,292,457,132,878,144,19,1,4243,1114,42,45,209,62,2230,110,2
2,15,3,9,2,15,15,6,5,1240,15,37,572,11,11,93,31,35,6,108,194,8,3,81,2,94,156,25,37,95,15,0,228,796,12,17,73,21,273,149,2
17,43,67,65,16,923,43,6,86,149018,43,1251,25102,376,1157,21751,51,580,1052,21722,504,84,21,334,27,499,428,326,1090,190,100,92,3688,670,47,47,164,121,1584,91,4
2,10,2,16,2,15,10,6,5,1858,10,82,604,17,16,177,68,27,9,176,9994,8,3,97,2,128,249,61,44,90,43,0,260,956,8,10,276,31,384,50,2
14,86,12,131,22,146,86,132,380,6853,86,517,231,625,835,318,167,147,769,309,841,8,83,455,16,475,1079,312,415,200,256,85,1045,616,97,129,493,332,642,173,4
0,8,2,4,1,9,8,6,3,16,8,19,4,5,6,9,15,21,3,19,32,10,3,29,0,32,56,2,24,90,1,0,592,0,5,8,0,11,29,4,1
5,55,58,106,66,133,63,46,62,104995,55,1662,17744,641,274,9727,103,921,2053,9694,671,116,25,613,13,727,564,344,380,203,46,358,4108,359,59,73,171,116,3407,105,0
3,12,9,26,9,10,12,6,37,309,12,61,26,207,109,35,36,29,400,139,345,8,3,55,3,62,133,29,62,96,48,98,25,4,9,15,19,65,69,8,1
22,61,56,151,47,65,61,93,386,8718,61,412,1077,902,695,1152,111,260,1394,1112,2535,38,73,476,28,460,1015,309,394,251,252,367,622,1967,79,80,167,307,680,156,4
4,42,2,13,4,27,42,90,17,1512,42,101,177,36,62,196,102,72,86,208,487,8,12,502,4,666,910,321,59,388,226,0,177,447,44,68,848,28,188,90,4
0,16,13,50,12,18,16,15,114,633,16,139,154,352,254,132,103,36,325,152,541,22,31,108,1,96,157,51,111,103,110,30,646,0,15,21,5,221,274,182,3
3,10,2,5,3,10,10,6,10,233,10,25,16,6,15,24,25,24,6,34,73,10,6,56,3,74,63,43,31,93,36,0,598,1,7,12,42,29,48,9,2
29,99,166,380,43,626,119,301,476,2556,99,3352,258,692,636,288,235,365,542,313,2924,681,364,1819,59,1859,3177,603,1308,294,131,125,10484,153,105,164,362,321,1772,2033,3
4,31,4,11,3,18,31,6,35,901,31,53,146,81,29,108,95,186,22,117,295,32,14,201,4,194,231,101,51,128,58,0,95,43,33,37,125,47,236,54,0
10,48,150,49,7,901,48,63,61,232591,48,1558,39231,176,1277,34406,67,555,1362,34382,674,32,21,388,10,796,469,617,1123,216,180,30,4410,58,51,57,107,78,2311,88,4
3,11,2,8,3,16,11,32,10,1078,11,34,475,8,20,46,26,28,6,57,150,13,4,74,3,83,154,27,38,91,16,0,253,779,8,13,108,20,245,64,2
7,8,4,15,2,14,8,6,14,518,8,53,86,9,24,29,34,22,12,34,226,8,3,71,10,89,143,28,46,90,18,0,55,118,5,8,119,17,107,23,4
29,84,186,415,71,375,94,301,671,3152,84,1512,401,1860,1255,345,236,299,1585,371,2745,660,146,1455,48,1560,2930,567,1133,279,530,215,9933,224,91,126,490,699,1608,1659,3
2,12,26,25,4,58,13,54,9,163,12,84,4,44,16,18,19,36,11,31,97,113,15,191,3,239,392,86,126,108,43,0,100,0,11,15,115,36,44,61,4
